,sector_id,sector_nombre,variable_id,actividad_producto_nombre,indicador,unidad_de_medida,fuente,frecuencia_nombre,cobertura_nombre,alcance_tipo,alcance_id,alcance_nombre,indice_tiempo,valor
34,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2014-11-01,7286.479
35,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2014-12-01,8321.551
36,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-01-01,7930.898
37,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-02-01,6937.407
38,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-03-01,5969.649
39,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-04-01,6597.348
40,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-05-01,7360.37
41,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-06-01,7136.112
42,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-07-01,7041.496
43,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-08-01,7062.82
44,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-09-01,7177.049
45,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-10-01,6822.348
46,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-11-01,6945.9
47,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2015-12-01,6618.856
48,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-01-01,7094.434
49,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-02-01,5978.125
50,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-03-01,5791.673
51,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-04-01,4863.356
52,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-05-01,3705.489
53,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-06-01,4348.078
54,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-07-01,4753.472
55,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-08-01,4669.963
56,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-09-01,3579.48
57,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-10-01,3790.704
58,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-11-01,4612.87
59,25,Energias alternativas,440,Energia biogas,Generacion,MWh,CAMMESA,Mensual,Nacional,PROVINCIA,6,BUENOS AIRES,2016-12-01,4322.648
